Date,NewDeaths,TotalDead,NewCases,TotalCases,MortalityRate,PercentagePopWithCholera,,Month,Year,Unix
30-Oct-10,18,410,,,,,,10,2010,1288396800
1-Nov-10,14,431,,,,,,11,2010,1288569600
3-Nov-10,16,463,,,,,,11,2010,1288742400
5-Nov-10,22,522,,,,,,11,2010,1288915200
7-Nov-10,26,583,,,,,,11,2010,1289088000
9-Nov-10,77,724,,,,,,11,2010,1289260800
11-Nov-10,40,846,,,,,,11,2010,1289433600
13-Nov-10,66,992,,,,,,11,2010,1289606400
15-Nov-10,45,1110,,,,,,11,2010,1289779200
17-Nov-10,61,1250,2560,52715,2.37,0.53,population 9.896m,11,2010,1289952000
19-Nov-10,69,1344,1712,56901,2.36,0.57,,11,2010,1290124800
21-Nov-10,16,1426,1359,61825,2.31,0.62,,11,2010,1290297600
23-Nov-10,50,1603,2072,69776,2.3,0.71,,11,2010,1290470400
25-Nov-10,25,1689,1502,74770,2.26,0.76,,11,2010,1290643200
27-Nov-10,30,1751,1311,77208,2.27,0.78,,11,2010,1290816000
29-Nov-10,25,1817,1153,80860,2.25,0.82,,11,2010,1290988800
1-Dec-10,14,2013,1722,88789,2.27,0.9,,12,2010,1291161600
3-Dec-10,29,2071,1456,91770,2.26,0.93,,12,2010,1291334400
5-Dec-10,27,2167,1462,96092,2.26,0.97,,12,2010,1291507200
7-Dec-10,35,2234,1824,101603,2.2,1.03,,12,2010,1291680000
9-Dec-10,59,2323,1265,104614,2.22,1.06,,12,2010,1291852800
11-Dec-10,12,2376,1584,107656,2.21,1.09,,12,2010,1292025600
13-Dec-10,52,2467,2208,117438,2.1,1.19,,12,2010,1292198400
15-Dec-10,60,2587,2852,122806,2.11,1.24,,12,2010,1292371200
17-Dec-10,60,2715,2558,128238,2.12,1.3,,12,2010,1292544000
19-Dec-10,97,2858,2003,132537,2.16,1.34,,12,2010,1292716800
21-Dec-10,61,3158,2736,140626,2.25,1.42,,12,2010,1292889600
23-Dec-10,20,3225,1632,144502,2.23,1.46,,12,2010,1293062400
25-Dec-10,33,3301,1308,147392,2.24,1.49,,12,2010,1293235200
27-Dec-10,57,3421,2094,154367,2.22,1.56,,12,2010,1293408000
29-Dec-10,22,3481,1358,157321,2.21,1.59,,12,2010,1293580800
31-Dec-10,19,3573,1222,160929,2.22,1.63,,12,2010,1293753600
2-Jan-11,16,3692,1532,174354,2.12,1.74,population 10.03m,1,2011,1293926400
4-Jan-11,14,3719,1434,177231,2.1,1.77,,1,2011,1294099200
6-Jan-11,15,3747,1233,180800,2.07,1.8,,1,2011,1294272000
8-Jan-11,13,3783,1107,183906,2.06,1.83,,1,2011,1294444800
10-Jan-11,9,3819,1011,186479,2.05,1.86,,1,2011,1294617600
12-Jan-11,11,3859,1191,190333,2.03,1.9,,1,2011,1294790400
14-Jan-11,12,3878,1066,192441,2.02,1.92,,1,2011,1294963200
16-Jan-11,8,3889,816,194095,2,1.94,,1,2011,1295136000
18-Jan-11,13,3982,1471,203517,1.96,2.03,,1,2011,1295308800
20-Jan-11,10,3998,1102,205771,1.94,2.05,,1,2011,1295481600
22-Jan-11,9,4014,900,207613,1.93,2.07,,1,2011,1295654400
24-Jan-11,9,4030,698,209034,1.93,2.08,,1,2011,1295827200
26-Jan-11,13,4108,989,214393,1.92,2.14,,1,2011,1296000000
28-Jan-11,14,4131,685,215936,1.91,2.15,,1,2011,1296172800
30-Jan-11,9,4120,662,216938,1.9,2.16,,1,2011,1296345600
1-Feb-11,7,4330,824,220073,1.97,2.19,,2,2011,1296518400
3-Feb-11,0,4452,794,225668,1.97,2.25,,2,2011,1296691200
5-Feb-11,3,4532,844,228038,1.99,2.27,,2,2011,1296864000
7-Feb-11,6,4540,744,229501,1.98,2.29,,2,2011,1297036800
9-Feb-11,4,4549,654,231070,1.97,2.3,,2,2011,1297209600
11-Feb-11,5,4520,617,232617,1.94,2.32,,2,2011,1297382400
13-Feb-11,3,4531,527,233754,1.94,2.33,,2,2011,1297555200
15-Feb-11,0,4552,645,239949,1.9,2.39,,2,2011,1297728000
17-Feb-11,11,4573,701,241360,1.89,2.41,,2,2011,1297900800
19-Feb-11,4,4612,598,243379,1.89,2.43,,2,2011,1298073600
21-Feb-11,1,4625,615,245183,1.89,2.44,,2,2011,1298246400
23-Feb-11,1,4619,636,247412,1.87,2.47,,2,2011,1298419200
25-Feb-11,3,4627,464,248442,1.86,2.48,,2,2011,1298592000
27-Feb-11,2,4666,544,251587,1.85,2.51,,2,2011,1298764800
1-Mar-11,4,4672,497,252640,1.85,2.52,,3,2011,1298937600
3-Mar-11,3,4649,704,262350,1.77,2.62,,3,2011,1299110400
5-Mar-11,2,4661,461,263476,1.77,2.63,,3,2011,1299283200
7-Mar-11,6,4670,441,264348,1.77,2.64,,3,2011,1299456000
9-Mar-11,3,4717,555,258084,1.83,2.57,,3,2011,1299628800
11-Mar-11,4,4724,484,259583,1.82,2.59,,3,2011,1299801600
13-Mar-11,1,4729,589,260752,1.81,2.6,,3,2011,1299974400
15-Mar-11,7,4737,632,261985,1.81,2.61,,3,2011,1300147200
17-Mar-11,3,4735,614,264682,1.79,2.64,,3,2011,1300320000
19-Mar-11,1,4737,490,265833,1.78,2.65,,3,2011,1300492800
21-Mar-11,6,4746,430,266635,1.78,2.66,,3,2011,1300665600
23-Mar-11,2,4753,587,268040,1.77,2.67,,3,2011,1300838400
25-Mar-11,2,4761,493,269821,1.76,2.69,,3,2011,1301011200
27-Mar-11,3,4765,364,270577,1.76,2.7,,3,2011,1301184000
29-Mar-11,3,4770,486,272131,1.75,2.71,,3,2011,1301356800
31-Mar-11,3,4779,396,273008,1.75,2.72,,3,2011,1301529600
2-Apr-11,2,4784,357,273797,1.75,2.73,,4,2011,1301702400
4-Apr-11,0,4787,303,274418,1.74,2.74,,4,2011,1301875200
6-Apr-11,1,4831,440,279809,1.73,2.79,,4,2011,1302048000
8-Apr-11,2,4835,317,280450,1.72,2.8,,4,2011,1302220800
10-Apr-11,3,4844,346,282535,1.71,2.82,,4,2011,1302393600
12-Apr-11,6,4856,412,283362,1.71,2.83,,4,2011,1302566400
14-Apr-11,1,4865,366,284863,1.71,2.84,,4,2011,1302739200
16-Apr-11,4,4869,335,285574,1.7,2.85,,4,2011,1302912000
18-Apr-11,3,4875,438,286590,1.7,2.86,,4,2011,1303084800
20-Apr-11,5,4884,428,287411,1.7,2.87,,4,2011,1303257600
22-Apr-11,6,4900,379,288665,1.7,2.88,,4,2011,1303430400
24-Apr-11,10,4915,411,289456,1.7,2.89,,4,2011,1303603200
26-Apr-11,4,4927,462,290372,1.7,2.9,,4,2011,1303776000
28-Apr-11,1,4933,429,291288,1.69,2.9,,4,2011,1303948800
30-Apr-11,6,4947,427,292348,1.69,2.91,,4,2011,1304121600
2-May-11,2,4954,395,293097,1.69,2.92,,5,2011,1304294400
4-May-11,0,5213,611,299235,1.74,2.98,,5,2011,1304467200
6-May-11,3,5220,484,300325,1.74,2.99,,5,2011,1304640000
8-May-11,6,5227,497,301338,1.73,3,,5,2011,1304812800
10-May-11,4,5234,566,302401,1.73,3.01,,5,2011,1304985600
